2019-11-05 22:57:33.3341 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 07.11.2019 00:00:00 по 13.11.2019 00:00:00 число 

2019-11-05 22:57:33.6249 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-05 22:58:39.2679 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 06.11.2019 00:00:00 по 07.11.2019 00:00:00 число 

2019-11-05 22:58:39.5277 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-05 23:00:36.4866 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 07.11.2019 00:00:00 по 14.11.2019 00:00:00 число 

2019-11-05 23:00:36.7379 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-05 23:06:25.4162 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 06.11.2019 00:00:00 по 12.11.2019 00:00:00 число 

2019-11-05 23:06:25.6971 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-05 23:08:00.3509 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 15.11.2019 00:00:00 по 16.11.2019 00:00:00 число 

2019-11-05 23:08:00.6181 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-05 23:09:20.0407 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 06.11.2019 00:00:00 по 07.11.2019 00:00:00 число 

2019-11-05 23:09:20.3042 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-05 23:09:58.0645 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 06.11.2019 00:00:00 по 08.11.2019 00:00:00 число 

2019-11-05 23:09:58.0765 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-05 23:11:46.2508 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 06.11.2019 00:00:00 по 08.11.2019 00:00:00 число 

2019-11-05 23:11:46.2668 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-05 23:13:50.7713 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 06.11.2019 00:00:00 по 08.11.2019 00:00:00 число 

2019-11-05 23:13:50.7832 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-05 23:16:19.4968 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 07.11.2019 00:00:00 по 08.11.2019 00:00:00 число 

2019-11-05 23:16:19.5118 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-05 23:17:51.0597 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 07.11.2019 00:00:00 по 16.11.2019 00:00:00 число 

2019-11-05 23:17:51.0757 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-05 23:20:22.1082 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 07.11.2019 00:00:00 по 08.11.2019 00:00:00 число 

2019-11-05 23:20:22.4092 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-05 23:21:02.7143 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 08.11.2019 00:00:00 по 15.11.2019 00:00:00 число 

2019-11-05 23:21:02.9676 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-05 23:25:01.3129 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 07.11.2019 00:00:00 по 09.11.2019 00:00:00 число 

